"num","time","src","dest","protocol","length","info","src_port","dest_port","src_ip","dest_ip","hardware_src_addr","hardware_dst_addr","set"
"63","0.720846","xx-fbcdn-shv-01-sjc2.fbcdn.net","rescomp-15-239085.stanford.edu","TCP","54","http  >  49546 [FIN, ACK] Seq=1 Ack=1 Win=60 Len=0","80","49546","31.13.77.12","10.31.69.86","JuniperN_7e:b3:c1","a0:a8:cd:44:9e:6d","NYTimes"
"64","0.720891","rescomp-15-239085.stanford.edu","xx-fbcdn-shv-01-sjc2.fbcdn.net","TCP","54","49546  >  http [ACK] Seq=1 Ack=2 Win=258 Len=0","49546","80","10.31.69.86","31.13.77.12","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"148","1.575853","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","85","Standard query 0x4626 PTR 15.132.15.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"149","1.576215","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","84","Standard query 0xbe86 PTR 251.0.0.224.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"150","1.576381","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","85","Standard query 0xf3de PTR 91.132.15.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"151","1.576538","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","84","Standard query 0x3567 PTR 57.76.31.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"152","1.576657","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","85","Standard query 0x59c5 PTR 255.79.31.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"153","1.576763","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","86","Standard query 0x603a PTR 135.132.15.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"154","1.576885","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","85","Standard query 0x4e4b PTR 41.132.15.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
"155","1.577038","rescomp-15-239085.stanford.edu","iron.stanford.edu","DNS","85","Standard query 0xfcfa PTR 189.87.31.10.in-addr.arpa","58969","53","10.31.69.86","171.67.1.234","10.31.69.86","00:00:5e:00:01:6b","NYTimes"
